Player,Team,Pos,Fantasy Points Pts,Fantasy Points x-Pts,Fantasy Points +/-,Points Per Game PPG,Points Per Game x-PPG,Points Per Game +/-,#G,Receiving Rec,Receiving X-Rec,Receiving Yds,Receiving X-Yds,Receiving TD,Receiving X-TD,Rushing Yds,Rushing X-Yds,Rushing TD,Rushing X-TD
Saquon Barkley,NYG,RB,282.0,287.0,-5.0,17.6,17.9,-0.3,16,57,62.43,338,420.5,0,0.6336,1312,1261.222,10,8.76
Richie James Jr.,NYG,WR,138.5,117.2,21.3,9.2,7.8,1.4,15,57,49.03,569,540.77,4,2.1984,6,9.506,0,0.0
Matt Breida,NYG,RB,59.8,67.2,-7.400000000000006,3.5,4.0,-0.4,17,20,19.26,118,153.33,0,0.1728,220,228.6732,1,1.45
Cam Akers,LA,RB,145.3,141.1,4.200000000000017,9.7,9.4,0.3,15,13,13.86,117,92.78,0,1.0176,786,791.8608,7,5.45
Elijah Moore,NYJ,WR,88.1,107.1,-19.0,5.5,6.7,-1.2,16,37,37.39,446,556.35,1,2.1216,5,12.1226,0,0.02
Josiah Deguara,GB,TE,24.4,24.7,-0.3000000000000007,1.4,1.5,0.0,17,13,12.45,114,116.63,0,0.096,0,0.0,0,0.0
Godwin Igwebuike,SEA,RB,1.7,3.3,-1.6,0.8,1.6,-0.8,2,1,0.78,3,4.95,0,0.0768,4,11.8678,0,0.07
Tre'Quan Smith,NO,WR,52.8,46.7,6.099999999999994,3.5,3.1,0.4,15,19,16.14,278,227.46,1,1.3056,0,0.0,0,0.0
Donovan Peoples-Jones,CLV,WR,163.1,170.9,-7.800000000000011,9.6,10.1,-0.5,17,61,58.04,839,807.51,3,5.2704,2,4.3022,0,0.01
Olamide Zaccheaus,ATL,WR,112.0,119.7,-7.700000000000003,6.6,7.0,-0.5,17,40,41.54,533,591.67,3,2.9952,7,9.4668,0,0.01
Michael Thomas,NO,WR,51.1,39.2,11.9,17.0,13.1,4.0,3,16,13.17,171,169.44,3,1.5168,0,0.0,0,0.0
Anthony Schwartz,CLV,WR,20.8,18.3,2.5,2.1,1.8,0.3,10,4,6.65,51,96.48,0,0.0,57,18.473,1,0.02
Tanner Conner,MIA,TE,0.0,3.4,-3.4,0.0,0.4,-0.4,8,0,1.59,0,18.53,0,0.0,0,0.0,0,0.0
Pharoh Cooper,ARZ,WR,4.1,4.7,-0.6000000000000005,1.4,1.6,-0.2,3,2,1.82,6,8.67,0,0.0,15,18.4828,0,0.03
Jaelon Darden,CLV,WR,4.8,4.1,0.7000000000000002,0.6,0.5,0.1,8,2,1.64,26,19.21,0,0.0096,2,4.4786,0,0.0
A.J. Green,ARZ,WR,59.6,80.6,-21.0,4.0,5.4,-1.4,15,24,27.77,236,363.13,2,2.7552,0,0.0,0,0.0
CeeDee Lamb,DAL,WR,301.6,275.8,25.80000000000001,17.7,16.2,1.5,17,107,100.86,1359,1306.86,9,6.6816,47,39.0432,0,0.05
Grant Calcaterra,PHI,TE,13.1,17.1,-4.000000000000002,0.9,1.2,-0.3,14,5,5.56,81,70.76,0,0.7488,0,0.0,0,0.0
Christian Watson,GB,WR,164.1,133.7,30.40000000000001,11.7,9.5,2.2,14,41,40.16,611,558.55,7,5.6656,80,30.2526,2,0.11
Jalen Tolbert,DAL,WR,3.2,4.5,-1.2999999999999998,0.5,0.6,-0.2,7,2,1.53,12,24.15,0,0.096,0,0.0,0,0.0
C.J. Board,TEN,WR,1.6,1.4,0.2000000000000001,1.6,1.4,0.2,1,1,0.72,6,6.44,0,0.0,0,0.0,0,0.0
Gus Edwards,BLT,RB,61.3,52.3,9.0,6.8,5.8,1.0,9,0,0.8,0,6.44,0,0.0384,433,358.965,3,2.46
Keke Coutee,IND,WR,3.0,1.9,1.1,1.5,0.9,0.6,2,1,0.77,20,11.68,0,0.0,0,0.0,0,0.0
Ray-Ray McCloud III,SF,WR,58.1,39.7,18.4,3.4,2.3,1.1,17,14,13.51,243,198.33,1,0.7392,78,17.9928,1,0.02
Mecole Hardman,KC,WR,93.8,70.7,23.099999999999994,11.7,8.8,2.9,8,25,22.72,297,236.21,4,3.3984,31,13.1418,2,0.44
Craig Reynolds,DET,RB,30.8,27.2,3.6000000000000014,4.4,3.9,0.5,7,9,8.6,116,69.62,0,0.0096,102,103.3116,0,0.21
Richard Rodgers,LAC,TE,1.4,5.8,-4.4,0.1,0.6,-0.4,10,1,1.48,4,6.81,0,0.6048,0,0.0,0,0.0
Rondale Moore,ARZ,WR,87.9,95.6,-7.699999999999989,11.0,11.9,-1.0,8,41,41.76,414,394.1,1,2.0256,-5,15.0136,0,0.13
Kendrick Bourne,NE,WR,88.3,87.3,1.0,5.5,5.5,0.1,16,35,32.71,434,421.27,1,1.5936,39,24.6078,0,0.07
Chris Myarick,NYG,TE,19.5,16.5,3.0,1.3,1.1,0.2,15,7,6.26,65,47.93,1,0.912,0,0.0,0,0.0
Cam Sims,WAS,WR,16.9,30.9,-14.0,1.0,1.8,-0.8,17,8,10.11,89,144.21,0,1.0656,0,0.0,0,0.0
Marvin Jones Jr.,JAX,WR,116.9,149.9,-33.0,7.3,9.4,-2.1,16,46,47.5,529,726.49,3,4.9536,0,0.0,0,0.0
Van Jefferson,LA,WR,78.9,90.2,-11.299999999999995,7.2,8.2,-1.0,11,24,26.93,369,480.32,3,2.5344,0,0.0,0,0.0
Giovani Bernard,TB,RB,4.7,7.4,-2.7,2.4,3.7,-1.4,2,2,1.86,-1,10.4,0,0.0,28,33.4572,0,0.2
John Brown,BUF,WR,11.2,5.2,5.999999999999999,3.7,1.7,2.0,3,1,0.58,42,24.92,1,0.3552,0,0.0,0,0.0
Montrell Washington,DEN,WR,7.2,22.3,-15.1,0.5,1.6,-1.1,14,4,6.09,2,95.19,0,0.5184,30,20.0508,0,0.27
Tyquan Thornton,NE,WR,66.3,86.3,-20.0,5.1,6.6,-1.5,13,22,26.15,247,394.96,2,2.928,16,11.221,1,0.32
Deon Jackson,IND,RB,86.5,90.2,-3.700000000000003,6.7,6.9,-0.3,13,30,29.67,209,202.48,1,0.8064,236,296.0972,1,0.98
Tanner Hudson,NYG,TE,23.2,22.3,0.8999999999999986,2.1,2.0,0.1,11,10,10.38,132,113.9,0,0.096,0,0.0,0,0.0
Tyler Boyd,CIN,WR,164.2,144.3,19.899999999999977,10.3,9.0,1.2,16,58,52.99,762,659.83,5,4.2144,0,0.0,0,0.0
Trey Sermon,PHI,RB,1.9,1.0,0.8999999999999999,0.9,0.5,0.4,2,0,0.0,0,0.0,0,0.0,19,8.5358,0,0.02
Chase Edmonds,DEN,RB,74.2,77.1,-2.8999999999999915,5.7,5.9,-0.2,13,16,18.29,157,146.93,1,1.0752,245,296.47,2,1.33
Donald Parham,LAC,TE,29.0,25.0,4.0,4.8,4.2,0.7,6,10,7.98,130,110.61,1,0.9888,0,0.0,0,0.0
Mark Ingram II,NO,RB,52.1,60.7,-8.600000000000001,5.2,6.1,-0.9,10,16,13.97,68,92.89,0,0.7776,233,264.9136,1,1.05
Sammy Watkins,BLT,WR,48.5,51.4,-2.8999999999999986,4.0,4.3,-0.2,12,16,16.93,325,251.54,0,1.5552,0,0.0,0,0.0
Isaiah Likely,BLT,TE,91.3,102.7,-11.400000000000006,5.7,6.4,-0.7,16,36,38.57,373,407.61,3,3.888,0,0.0,0,0.0
Shi Smith,CAR,WR,63.6,67.0,-3.3999999999999986,4.0,4.2,-0.2,16,22,25.35,296,288.47,2,2.1312,0,0.0,0,0.0
Chris Moore,HST,WR,115.1,123.3,-8.200000000000003,7.2,7.7,-0.5,16,48,47.6,548,566.21,2,3.1008,3,4.655,0,0.0
Chuba Hubbard,CAR,RB,89.8,76.2,13.599999999999994,6.0,5.1,0.9,15,14,13.53,171,97.76,0,0.1536,467,401.457,2,1.97
Jalen Nailor,MIN,WR,32.9,20.7,12.2,5.5,3.4,2.0,6,9,7.67,179,114.7,1,0.2592,0,0.0,0,0.0
Ko Kieft,TB,TE,21.0,19.7,1.3000000000000007,1.2,1.2,0.1,17,7,7.79,80,81.2,1,0.624,0,0.0,0,0.0
