player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ovie Mughelli,1445,FB,ATL,17,5,1,0,0.0,0,0,16,0,1,1,12,36.9,0,4,2,0,0,73.6,77.1,82.6,,69.4,63.3,54.2,77.9,9,2,57,8,89,320,0,0,8,13,0,16,12,2.4,3.2,0.64,0
Brady Quinn,3638,QB,CLV,3,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,1,2,8,0,0,84.8,59.2,82.5,59.3,,,53.8,60.3,12,0,0,0,0,71,23,3,0,2,0,21,0,0.0,4.2,,0
Brian Griese,379,QB,TB,5,4,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,1,30,1,0,78.2,62.5,28.6,63.5,,,48.7,60.0,3,2,0,0,0,132,3,1,0,4,0,-1,5,1.0,-0.2,,0
Andre Caldwell,4411,WR,CIN,6,5,0,2,81.1,43,0,53,0,1,0,7,8.8,2,3,7,0,0,74.1,67.2,81.6,,,59.3,87.2,71.0,26,0,78,11,86,90,0,0,15,16,0,53,7,1.4,10.6,0.91,0
Jim Sorgi,1910,QB,IND,1,4,0,0,0.0,0,0,-4,0,0,0,0,0.0,1,1,14,0,0,78.5,65.8,78.5,68.6,,,52.1,60.0,12,0,0,0,0,25,12,1,0,4,0,8,0,0.0,1.6,,0
Vincent Jackson,2278,WR,SD,18,4,1,2,69.6,48,0,69,5,5,1,21,48.5,3,3,27,1,0,47.2,80.9,68.4,,,77.2,74.4,89.8,31,2,1147,61,582,426,0,0,105,65,0,69,21,5.25,17.3,1.97,0
Jeff Dugan,1936,FB,MIN,10,4,0,0,0.0,0,0,7,0,0,0,4,0.0,0,4,18,0,0,70.0,52.3,45.6,,72.0,47.4,41.9,67.7,2,1,12,2,50,95,0,0,2,6,0,7,4,1.0,1.8,0.24,0
Matt Leinart,2955,QB,ARZ,4,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,1,1,2,0,24.2,34.8,0.0,41.2,,,43.9,60.0,8,2,0,0,0,15,8,1,0,3,0,5,12,3.0,1.3,,0
Bernard Berrian,1799,WR,MIN,17,4,0,0,0.0,0,1,26,6,7,0,17,55.1,1,2,18,0,0,80.1,71.2,67.6,,,70.7,59.8,68.5,14,2,1000,50,521,383,0,0,98,54,0,26,17,4.25,6.5,1.92,0
Santonio Holmes,2970,WR,PIT,18,4,1,0,0.0,0,0,16,9,14,1,13,67.7,1,2,25,2,0,29.7,74.9,69.1,,,73.6,57.1,78.6,10,2,1047,68,603,375,0,0,131,72,0,16,13,3.25,4.0,1.74,0
Devery Henderson,1771,WR,NO,16,4,1,1,90.9,30,0,33,3,0,1,16,11.1,1,1,20,1,0,40.8,60.3,62.9,,,58.7,62.0,74.6,30,2,793,32,534,260,0,0,56,36,0,33,16,4.0,8.3,1.49,0
Josh McCown,1085,QB,CAR,2,4,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,5,0,0,68.6,45.3,74.3,,,,46.6,60.0,0,0,0,0,0,17,0,0,0,4,0,-3,0,0.0,-0.8,,0
Tony Hunt,3706,FB,PHI,6,4,0,0,0.0,0,0,9,0,1,0,8,20.0,0,2,24,1,0,20.6,45.1,77.0,,58.9,33.8,58.0,50.9,6,0,42,6,44,38,0,0,6,10,1,9,8,2.0,2.3,0.95,0
Aveion Cason,945,HB,DET,6,4,0,0,0.0,0,0,7,0,0,0,5,0.0,0,0,11,0,0,71.4,48.4,73.8,,20.3,57.2,49.9,60.0,4,0,27,4,38,5,0,0,4,8,0,7,5,1.25,1.8,0.71,0
Dante' Hall,677,WR,SL,8,4,0,0,0.0,0,0,9,1,0,0,5,0.0,1,2,26,0,0,74.3,62.2,78.7,58.1,,60.2,66.1,70.3,10,0,105,12,97,37,0,0,18,16,0,9,5,1.25,2.3,1.08,0
Chauncey Washington,4527,HB,JAX,3,4,3,0,0.0,0,0,9,0,0,3,12,180.0,0,1,15,0,0,70.0,66.2,69.2,,,63.4,65.8,,6,0,9,1,5,4,0,0,1,5,0,9,12,3.0,2.3,1.8,0
Damon Huard,215,QB,KC,5,3,0,0,0.0,0,0,-10,0,0,0,0,0.0,1,1,16,4,0,41.7,64.6,0.0,68.4,,,42.9,60.0,15,2,0,0,0,67,15,1,0,3,0,5,0,0.0,1.3,,0
